                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2279,                 1.0448,                  1.504,                0.96505,                0.82025,                0.94038,                0.58682,                 1.3306,                0.85828,                 2.0096,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.2023,                0.99776,                 1.4993,                0.73258,                0.71287,                0.79197,                0.44818,                 1.3541,                 1.1283,                 2.0393,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2165,                 1.0046,                 1.4931,                0.95827,                0.90953,                0.98067,                0.62346,                 1.2147,                0.83343,                 1.8521,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.228,                0.96286,                 1.4909,                 0.9468,                0.88099,                0.95873,                0.59406,                 1.3673,                 0.8367,                 1.9585,               0.001307,               0.001307,               0.001307
                     38,                 1.2162,                 1.0228,                 1.4898,                0.95711,                0.90099,                0.95003,                 0.5439,                 1.3922,                0.94679,                  2.023,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.2093,                 1.0199,                 1.4998,                 0.8644,                0.89109,                0.89209,                0.55491,                 1.2518,                0.88558,                 1.9896,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1656,                0.95633,                 1.4548,                0.88573,                0.85149,                 0.9498,                0.62454,                 1.1149,                0.80161,                 1.8356,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2335,                  1.013,                 1.5076,                0.78939,                0.85353,                0.88256,                0.50268,                 1.3266,                 1.1856,                  1.995,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2004,                0.96855,                 1.4774,                0.98884,                0.88119,                 0.9713,                0.56665,                 1.3994,                 0.8721,                 2.0625,               0.001208,               0.001208,               0.001208
                     43,                 1.1759,                0.96008,                 1.4789,                0.94156,                0.92079,                0.96657,                0.60791,                 1.3157,                0.77771,                 1.9529,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2056,                0.92787,                   1.49,                0.77819,                 0.7295,                0.82737,                0.41031,                 1.8242,                 1.1972,                 2.4365,              0.0011684,              0.0011684,              0.0011684
